case_id,ai_diagnosis,ai_confidence,human_status,human_correction,reviewer_reason,requires_human_approval,timestampNS-029,Available evidence does not uniquely identify the network root cause.,0.45,Accepted,,Diagnosis and recommended diagnostic direction verified by human reviewer.,True,2026-08-30T21:48:45
NS-029,Available evidence does not uniquely identify the network root cause.,0.45,Accepted,,Diagnosis and recommended diagnostic direction verified by human reviewer.,True,2026-08-30T21:48:49
NS-029,Available evidence does not uniquely identify the network root cause.,0.45,Accepted,,Diagnosis and recommended diagnostic direction verified by human reviewer.,True,2026-08-30T21:48:52
NS-001,PC-ADMIN switch port assigned to wrong VLAN.,0.92,Accepted,,Diagnosis and recommended diagnostic direction verified by human reviewer.,True,2026-08-30T21:54:29
NS-001,PC-ADMIN switch port assigned to wrong VLAN.,0.92,Accepted,,Diagnosis and recommended diagnostic direction verified by human reviewer.,True,2026-08-30T21:54:34
NS-001,PC-ADMIN switch port assigned to wrong VLAN.,0.92,Accepted,,Diagnosis and recommended diagnostic direction verified by human reviewer.,True,2026-08-30T21:54:36
NS-001,PC-ADMIN switch port assigned to wrong VLAN.,0.92,Accepted,,Diagnosis and recommended diagnostic direction verified by human reviewer.,True,2026-08-30T21:54:37
NS-001,PC-ADMIN switch port assigned to wrong VLAN.,0.92,Accepted,,Diagnosis and recommended diagnostic direction verified by human reviewer.,True,2026-08-30T21:55:52
NS-001,PC-ADMIN switch port assigned to wrong VLAN.,0.92,Accepted,,Diagnosis and recommended diagnostic direction verified by human reviewer.,True,2026-08-30T23:07:57
NS-001,PC-ADMIN switch port assigned to wrong VLAN.,0.92,Accepted,,Diagnosis and recommended diagnostic direction verified by human reviewer.,True,2026-08-30T23:08:22
NS-001,PC-ADMIN switch port assigned to wrong VLAN.,0.92,Accepted,,Diagnosis and recommended diagnostic direction verified by human reviewer.,True,2026-08-30T23:08:47
NS-029,Available evidence does not uniquely identify the network root cause.,0.45,Accepted,,Diagnosis and recommended diagnostic direction verified by human reviewer.,True,2026-08-30T23:12:00
NS-029,Available evidence does not uniquely identify the network root cause.,0.45,Accepted,,Diagnosis and recommended diagnostic direction verified by human reviewer.,True,2026-08-30T23:12:10
NS-001,PC-ADMIN switch port assigned to wrong VLAN.,0.92,Accepted,,Diagnosis and recommended diagnostic direction verified by human reviewer.,True,2026-08-30T23:17:44
NS-001,PC-ADMIN switch port assigned to wrong VLAN.,0.92,Accepted,,Diagnosis and recommended diagnostic direction verified by human reviewer.,True,2026-08-30T23:17:59
NS-001,PC-ADMIN switch port assigned to wrong VLAN.,0.92,Accepted,,Diagnosis and recommended diagnostic direction verified by human reviewer.,True,2026-08-30T23:18:14
NS-001,PC-ADMIN switch port assigned to wrong VLAN.,0.92,Accepted,,Diagnosis and recommended diagnostic direction verified by human reviewer.,True,2026-08-30T23:18:44
NS-029,Available evidence does not uniquely identify the network root cause.,0.45,Accepted,,Diagnosis and recommended diagnostic direction verified by human reviewer.,True,2026-08-30T23:18:53
NS-029,Available evidence does not uniquely identify the network root cause.,0.45,Accepted,,Diagnosis and recommended diagnostic direction verified by human reviewer.,True,2026-08-30T23:18:57
NS-029,Available evidence does not uniquely identify the network root cause.,0.45,Accepted,,Diagnosis and recommended diagnostic direction verified by human reviewer.,True,2026-08-30T23:19:17
